grapheme,phoneme,category,region,city,alias,notes
Presbyterian Boys' Secondary School,ˌprɛz.bɪˈtɛː.ri.ən bɔɪz ˈsek.ən.dri skuːl,shs,Greater Accra,Legon,PRESEC,Top-ranked boys' SHS in Legon
Achimota School,aˈtʃi.mo.ta skuːl,shs,Greater Accra,Achimota,Motown,Historic co-ed SHS founded 1927
Mfantsipim School,ˌmfan.tsiˈpim skuːl,shs,Central,Cape Coast,Mfantsipim,Historic boys' SHS founded 1876
Wesley Girls' High School,ˈwez.li ɡɜːlz haɪ skuːl,shs,Central,Cape Coast,Wey Gey Hey,Top-ranked girls' SHS
St. Augustine's College,seɪnt ɔːˈɡʌs.tɪnz ˈkɒ.lɪdʒ,shs,Central,Cape Coast,Augusco,Catholic boys' SHS in Cape Coast
Holy Child School,ˈhoʊ.li tʃaɪld skuːl,shs,Central,Cape Coast,Holy Child,Catholic girls' SHS in Cape Coast
Adisadel College,ˌa.di.saˈdɛl ˈkɒ.lɪdʒ,shs,Central,Cape Coast,Adisco,Historic boys' SHS founded 1910
Opoku Ware School,ɔˈpɔ.ku ˈwa.re skuːl,shs,Ashanti,Kumasi,OWASS,Catholic boys' SHS in Kumasi
Prempeh College,ˈprɛm.pe ˈkɒ.lɪdʒ,shs,Ashanti,Kumasi,Amanfoo,Top boys' SHS in Kumasi
St. Louis Senior High School,seɪnt ˈluː.is ˈsiː.njə haɪ skuːl,shs,Ashanti,Kumasi,St. Louis,Catholic girls' SHS in Kumasi
Yaa Asantewaa Girls' Senior High School,ˈjaː asan.teˈwaː ɡɜːlz ˈsiː.njə haɪ skuːl,shs,Ashanti,Kumasi,Yaaas,Girls' SHS named after Yaa Asantewaa
Ghana Senior High School,ˈɡana ˈsiː.njə haɪ skuːl,shs,Greater Accra,Kokomlemle,Ghanass,Co-ed SHS in Accra
Labone Senior High School,laˈboːne ˈsiː.njə haɪ skuːl,shs,Greater Accra,Labone,Labsec,Co-ed SHS in Accra
Accra Academy,əˈkraː əˈkad.ə.mi,shs,Greater Accra,Bubiashie,Accra Aca,Boys' SHS in Accra
Accra High School,əˈkraː haɪ skuːl,shs,Greater Accra,Kokomlemle,Accra High,Co-ed SHS in Accra
Aburi Girls' Senior High School,aˈbu.ri ɡɜːlz ˈsiː.njə haɪ skuːl,shs,Eastern,Aburi,Abugiss,Girls' SHS in Aburi
Pope John Senior High School,poʊp dʒɒn ˈsiː.njə haɪ skuːl,shs,Eastern,Koforidua,Pope John,Catholic co-ed SHS in Koforidua
Tamale Senior High School,ˈtamale ˈsiː.njə haɪ skuːl,shs,Northern,Tamale,Tamasco,Top SHS in Northern Region
Ghana Secondary Technical School,ˈɡana ˈsek.ən.dri ˈtek.nɪ.kəl skuːl,shs,Ashanti,Kumasi,Gee Sec Tech,Technical SHS in Kumasi
Tema Secondary School,ˈtɛma ˈsek.ən.dri skuːl,shs,Greater Accra,Tema,Temasco,Co-ed SHS in Tema
Mawuli School,maˈwu.li skuːl,shs,Volta,Ho,Mawuli,Co-ed SHS in Ho
Navrongo Senior High School,naˈvrɔŋ.ɡo ˈsiː.njə haɪ skuːl,shs,Upper East,Navrongo,Navass,SHS in Upper East Region
Bolgatanga Senior High School,ˌbɔl.ɡaˈtaŋ.ɡa ˈsiː.njə haɪ skuːl,shs,Upper East,Bolgatanga,Bigboss,SHS in Bolgatanga
Wa Senior High School,wa ˈsiː.njə haɪ skuːl,shs,Upper West,Wa,Wass,SHS in Upper West Region
Sunyani Senior High School,suˈɲani ˈsiː.njə haɪ skuːl,shs,Bono,Sunyani,Sunyanico,SHS in Sunyani
University of Ghana,ˌjuː.nɪˈvɜː.sɪ.ti əv ˈɡana,university,Greater Accra,Legon,Legon,Flagship public university founded 1948
Kwame Nkrumah University of Science and Technology,ˈkwame ŋˈkrumah ˌjuː.nɪˈvɜː.sɪ.ti əv ˈsaɪ.əns ænd tekˈnɒ.lə.dʒi,university,Ashanti,Kumasi,KNUST,Premier science and technology university
University of Cape Coast,ˌjuː.nɪˈvɜː.sɪ.ti əv keɪp koʊst,university,Central,Cape Coast,UCC,Major public university in Cape Coast
University of Education Winneba,ˌjuː.nɪˈvɜː.sɪ.ti əv ˌɛ.djʊˈkeɪ.ʃən ˈwɪ.nɛ.ba,university,Central,Winneba,UEW,Education-focused university
University for Development Studies,ˌjuː.nɪˈvɜː.sɪ.ti fɔːr dɪˈvɛ.ləp.mənt ˈstʌ.diz,university,Northern,Tamale,UDS,University focused on development studies
Ghana Institute of Management and Public Administration,ˈɡana ˈɪn.stɪ.tjuːt əv ˈmæ.nɪdʒ.mənt ænd ˈpʌb.lɪk ædˌmɪ.nɪˈstreɪ.ʃən,university,Greater Accra,Achimota,GIMPA,Graduate school for management and public admin
Ashesi University,aˈʃɛ.si ˌjuː.nɪˈvɜː.sɪ.ti,university,Eastern,Berekuso,Ashesi,Private liberal arts university
